,answer,passage,question,tf
414,商標権,"特許権,実用新案権,意匠権,商標権を総称して産業財産権といい,新しい技術やデザインなどに対して独占的に使用できる権利が与えられ,模倣されないように保護される。","特許権,実用新案権,意匠権を総称して産業財産権といい,新しい技術やデザインに対して独占的に使用できる権利が与えられる。",0
91,問題とはあるべき理想の姿と現実とのギャップのことである。また、解決や解消を必要とする状況そのものを指すこともある。,問題という用語は「あるべき理想の姿と現実とのギャップ」や「解決や解消を必要とする状況」などという意味で良く用いられる.,問題解決における問題とは何ですか,1
455,正しくない,教育を担任する者、授業を受ける者は、授業の過程で利用するために、必要と認められる限度に置いて著作物を複製できる。ただし、著作権者の利益を不当に害することは違法になる。,次の文章は正しいか答えなさい。教育を担任者、授業を受ける者は、授業の過程で利用するために著作物を複製することは違法である。,0
617,店舗が用意したqrコードを読み込む、もしくはスマートフォンでqrコードを表示して店員が読み取るqrコード決済が利用されている,"中国や韓国ではキャッシュレス化が進んでおり,そこではqrコード決済も利用されている.決済方法は,(1)店舗が用意したqrコードを客が読み取る方法(2)客のスマートフォンでqrコードを表示し,店員がそのqrコードを読み取る方法の2種類がある.",中国と韓国ではどのような決済方法が利用されていますか?,1
264,正しくない,"情報の代表的な特性として,以下の4つがあげられる。1形がない2消えない3簡単に複製できる4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。",次の文章は正しいか答えなさい。情報の代表的な特性は「形がない」と比較して考えるとわかりやすい。,0
1027,正しくない,デザインの対象は、インターフェース、アルゴリズム、プログラミング、ネットワーク、データベース、データ分析など、コンテンツ以外にも多岐に渡るものである。広い意味では組織や文化などもデザインの対象になりうる。,次の文章は正しいか答えなさい。データ分析やデータベースなどもデザインの対象になりうる。,0
1131,定性的な情報は主に文字情報によって結果が得られるため、新たな気付きを得たり、詳細な状況を探ったりするのに向いている。,各種の発想法によりデザインの対象を見つけたら、そこにあるニーズについて情報を収集する。このとき収集される情報には、大きく分けて、定量的な情報と、定性的な情報がある。定量的な情報は、結果を数値で得られるため、量的な比較や検証をするのに向いている。定性的な情報は、主に文字情報によって結果が得られるため、新たな気付きを得たり、詳細な状況を探ったりするのに向いている。,定性的な情報は、主に文字情報によって結果が得られるため、量的な比較や検証をするのに向いているか?,0
216,データは事象や現象を数字や文字で記号化したもので、情報は意味や価値が付加されたデータのことである,"事象や現象を数字や文字などで記号化したものがデータであり,意味や価値が付加されたデータやメッセージを情報という.",事象や現象を数字や文字などで記号化したものがデータである.,0
883,15世紀にグーテンベルクによって活版印刷術が発明されたため、情報の複製が容易にできるようになったため、同じ情報を同時に複数人に伝えることが容易になった。,15世紀にはグーテンベルクによって活版印刷術が発明されたことにより、情報の複製が大量にできるようになったことで、同じ情報を同時に複数人に伝えることが容易になった。その後、産業革命をきっかけに、不特定多数への情報伝達の需要が高まり、マスメディアが誕生した。,何が情報の複製が大量にできるようになったことで、同じ情報を同時に複数人に伝えることが容易になったか,0
754,ラスタデータ,"コンピュータで扱う画像データには様々な種類がある。画像データは大別して,ラスタデータとベクタデータに大きく分けられる。ラスタデータは,画像を色情報を持った点を使って表現したデータで,ビットマップデータとも呼ばれる。ラスタデータは,写真や自然画などを扱うのに適している。しかしラスタデータは,点の集合で表現されているため,画像の拡大・縮小・変形などには適さない。ベクタデータは,画像を点とそれを結ぶ線や面で計算処理して表現したデータで,イラストや図面などを作成するのに適している。ベクタデータは,表示するたびに,計算を行って画像を表現するため,画像を拡大・縮小・変形したりしても,画質が維持されるという特徴がある。",コンピュータで扱う画像データの代表的な分類は何か,0
415,商標権,"特許権,実用新案権,意匠権,商標権を総称して産業財産権といい,新しい技術やデザインなどに対して独占的に使用できる権利が与えられ,模倣されないように保護される。","特許権,実用新案権,意匠権を総称して産業財産権といい,新しい技術やデザインなどに対して独占的に使用できる権利が与えられている。",0
1129,定性的な情報は主に文字情報によって結果が得られるため、新たな気付きを得たり、詳細な状況を探ったりするのに向いている。,各種の発想法によりデザインの対象を見つけたら、そこにあるニーズについて情報を収集する。このとき収集される情報には、大きく分けて、定量的な情報と、定性的な情報がある。定量的な情報は、結果を数値で得られるため、量的な比較や検証をするのに向いている。定性的な情報は、主に文字情報によって結果が得られるため、新たな気付きを得たり、詳細な状況を探ったりするのに向いている。,定量的な情報と定性的な情報は、結果を数値で得られるため、量的な比較や検証をするのに向いている。,0
198,変数名やその意味をまとめた表,プログラム中に用いる変数と諸条件の対応をわかりやすくするためにも変数表を作成しておくとよい,変数表とは何ですか?,1
980,究極の5個の帽子掛け,"情報デザインを行っていく上で欠かせないのが,情報を構造化していくことである。情報の構造化とは,情報をある基準を用いて整理し,整理された情報同士を結び付けていくことである。情報の整理の基準として用いられているのが,リチャード・ソール・ワーマンが提唱した「究極の5個の帽子掛け」と呼ばれるものである。ここでは,情報を整理する基準について,「位置」「アルファベット」「時間」「カテゴリ」「連続量」の5つしかないとしている。",リチャード・ソール・ワーマンが提唱した情報の整理の基準はどのようなものであるか,0
495,正しくない,特許権、実用新案権、意匠権、商標権を総称して産業財産権という。,次の文章は正しいか答えなさい。商標権、実用新案権、意匠権を総称して産業財産権という。,1
328,サイバー犯罪は匿名性が高い、痕跡が残りにくい、不特定多数が被害を受ける、時間と空間の制約がないという特徴がある,ネットワークを利用したサイバー犯罪には次のような特徴がある.1匿名性が高い2痕跡が残りにくい3不特定多数が被害を受ける4時間と空間の制約がない,サイバー犯罪の特徴は何ですか?ネットワークを利用したサイバー犯罪は次のような特徴があるか,0
481,生存する個人に関する情報で、氏名・生年月日その他の記述などで特定の個人を識別できるもの。または個人識別符号が含まれるもの。,"2003年に成立した「個人情報の保護に関する法律」(以下,「個人情報保護法」という)では,個人情報を以下のように定義している。「生存する個人に関する情報であって,当該情報に含まれる氏名,生年月日その他の記述などによって特定の個人を識別できるもの(他の情報と容易に照合することができ,それによって特定の個人を識別することができることとなるものを含む。),または個人識別符号が含まれるもの。」","個人情報を次のように定義している。「生存する個人に関する情報で,氏名・生年月日その他の記述によって特定の個人を識別できるもの」",0
514,正しい,授業での利用(著作権法第35条)では教育を担当する者、授業を受ける者は、授業の過程で利用するために、必要と認められる限度に置いて著作物を複製できる。ただし、著作権者の利益を不当に害することは違法になる。,次の文章は正しいか答えなさい。授業での利用では教育を担当する者、授業を受ける者は、授業の過程で利用するために著作物を複製することは違法である。,0
623,完全セルフレジは複数のレジを1人のスタッフで対応できるメリットがあるが、利用者にとっては慣れないと操作が難しく、購入を諦めてしまうデメリットがある,"完全セルフレジの場合には複数のレジを一人のスタッフで対応できるメリットがある反面,利用者にとっては慣れないと難しく購入をあきらめてしまう可能性もある.",完全セルフレジのメリットとデメリットは何ですか?,1
53,正しくない,画面内に画像や文章を配置する際に重要なことは絵心ではなく、目の特性(ゲシュタルトの法則)を理解することである。,次の文章は正しいか答えなさい。画面内に画像や文章を配置する際に重要なことは絵心である。,1
101,サイバー犯罪は匿名性が高い、痕跡が残りにくい、不特定多数が被害を受ける、時間と空間の制約がないという特徴がある,ネットワークを利用したサイバー犯罪には次のような特徴がある.1匿名性が高い2痕跡が残りにくい3不特定多数が被害を受ける4時間と空間の制約がない,サイバー犯罪の特徴は何ですか,1
994,アイソタイプの目的は、言語の壁を越えて情報を伝達することで、社会的不平等を解消することである。,オットー・ノイラートが考案したアイソタイプは、文字が読めない社会的弱者を含めた、あらゆる人々に向けて、情報をグラフィカルに伝達しようとしたものである。その目的は、言語の壁を越えて情報を伝達することで、社会的な不平等を解消しようとしたものと言われている。,オットー・ノイラートが考案したアイソタイプとは何か?,0
812,正しくない,画面内に画像や文章を配置する際に重要なことは絵心ではなく、目の特性(ゲシュタルトの法則)を理解することである。,次の文章は正しいか答えなさい。画面内に画像や文章を配置する際に重要なことは絵心である。,1
346,正しい,"平成30年の警察白書によれば,サイバー犯罪は次の3つの類型に区別されている。1.不正アクセス禁止法違反2.コンピュータ・電磁的記録対象犯罪等3.ネットワーク利用犯罪",次の文章は正しいか答えなさい。サイバー犯罪は3つの類型に区別されている。,1
846,対人コミュニケーションとは特定相手を限定した個人対個人のコミュニケーションのことである。,対人コミュニケーションは特定相手を限定した個人対個人のコミュニケーションのことを指し、集団コミュニケーションは限定された小集団レベルのコミュニケーションのことを指す。また、マスコミュニケーションは不特定多数に対して行われるコミュニケーションのことをいう。,対人コミュニケーションとは特定相手を限定した個人対個人のコミュニケーションのことを指し、集団コミュニケーションは限定された小集団レベルのコミュニケーションのことを指す,0
660,正しくない,プリペイドカードでは磁気データを書き換えることで利用確認を行っている。一方で、icカード方式電子マネーでは内臓icと電波でやり取りを行うことで利用確認を行っている。,次の文章は正しいか答えなさい。icカード方式電子マネーでは磁気データを書き換えることで利用確認を行っている。,1
817,正しくない,画面内に画像や文章を配置する際に重要なことは絵心ではなく、目の特性(ゲシュタルトの法則)を理解することである。,次の文章は正しいか答えなさい。画面内に画像や文章を配置する際、重要なことは絵心である。,1
157,煙感知器,リモコンの赤外線センサは、赤外線による信号を検知する役割を果たしている。また、エアコンの温度センサ・湿度センサは、室内の気温・湿度を検知する役割を果たしている。煙感知器の煙センサは煙を検知する役割を果たしている。,煙センサが使用されているものを1つ挙げなさい。,1
891,15世紀にグーテンベルクによって活版印刷術が発明されたため、情報の複製が容易にできるようになったため、同じ情報を同時に複数人に伝えることが容易になった。,15世紀にはグーテンベルクによって活版印刷術が発明されたことにより、情報の複製が大量にできるようになったことで、同じ情報を同時に複数人に伝えることが容易になった。その後、産業革命をきっかけに、不特定多数への情報伝達の需要が高まり、マスメディアが誕生した。,情報の複製が容易にできるようになったことで、同じ情報を同時に複数の人に伝えることが容易になった。,0
808,対人コミュニケーション、集団コミュニケーション、マスコミュニケーション,コミュニケーションを、個人同士で情報をやり取りする「対人コミュニケーション」、限られた集団で情報をやり取りする「集団コミュニケーション」、不特定多数で情報をやり取りする「マスコミュニケーション」の3つのモデルに分ける考え方がある。,コミュニケーションを3つのモデルに分ける考え方はありますか,0
494,正しくない,特許権、実用新案権、意匠権、商標権を総称して産業財産権という。,次の文章は正しいか答えよ。特許権、実用新案権、意匠権を総称して産業財産権という。,1
303,真正性、信頼性、責任追跡性、否認防止,"情報セキュリティとは,情報の機密性・完全性・可用性を確保することである。2006年制定のjis q 13335-1ではさらに真正性(authenticity),責任追跡性(accountability),信頼性(reliability),否認防止(non-repudiation)を加えて7要素と呼ぶ.",2006年制定のjis q 13335-1では、情報セキュリティを構成する要素は何か,0
565,正しい,情報技術の発展が社会へのコミュニケーションの利便性を高め人の生活を豊かにさせる反面、情報格差、健康への影響、いじめや犯罪に巻き込まれるなどの負の側面も生じている。,次の文章は正しいか答えなさい。情報技術の発展が社会へのコミュニケーションの利便性を高め人の生活豊かにさせる反面、情報格差、健康への影響、いじめや犯罪に巻き込まれるなどの負の側面も生じている。,1
946,正しくない,ラスタ系画像処理ソフトでは、画像を小さな点(ピクセル)で描画する。そのため、拡大や変形すると画像が粗くなる場合がある。また、ベクタ系とは異なり画像内にある一部の円や長方形だけを移動したり、削除することはできない。,次の文章は正しいか答えなさい。ラスタ系画像処理ソフトでは、画像内にある一部の円や長方形だけを移動したり、削除することはできない。,0
612,店舗が用意したqrコードを読み込む、もしくはスマートフォンでqrコードを表示して店員が読み取るqrコード決済が利用されている,"中国や韓国ではキャッシュレス化が進んでおり,そこではqrコード決済も利用されている.決済方法は,(1)店舗が用意したqrコードを客が読み取る方法(2)客のスマートフォンでqrコードを表示し,店員がそのqrコードを読み取る方法の2種類がある.",中国や韓国ではどのような決済方法が利用されていますか?,1
329,サイバー犯罪は匿名性が高い、痕跡が残りにくい、不特定多数が被害を受ける、時間と空間の制約がないという特徴がある,ネットワークを利用したサイバー犯罪には次のような特徴がある.1匿名性が高い2痕跡が残りにくい3不特定多数が被害を受ける4時間と空間の制約がない,サイバー犯罪の特徴は何ですか?ネットワークを利用したサイバー犯罪は次のような特徴がある,0
432,特許庁,"特許権,実用新案権,意匠権,商標権を総称して産業財産権といい,新しい技術やデザインなどに対して独占的に使用できる権利が与えられ,模倣されないように保護される。これらは,特許庁に出願し,登録することで権利が発生する。なお,権利の性質上,商標権は更新が可能となっている。","特許権はどこに出願し,登録することで権利が発生するのか?",1
613,店舗が用意したqrコードを読み込む、もしくはスマートフォンでqrコードを表示して店員が読み取るqrコード決済が利用されている,"中国や韓国ではキャッシュレス化が進んでおり,そこではqrコード決済も利用されている.決済方法は,(1)店舗が用意したqrコードを客が読み取る方法(2)客のスマートフォンでqrコードを表示し,店員がそのqrコードを読み取る方法の2種類がある.",中国や韓国ではどのような決済方法が利用されているか,1
777,ベクターデータ,"コンピュータで扱う画像データには様々な種類がある。画像データは大別して,ラスタデータとベクタデータに大きく分けられる。ラスタデータは,画像を色情報を持った点を使って表現したデータで,ビットマップデータとも呼ばれる。ラスタデータは,写真や自然画などを扱うのに適している。しかしラスタデータは,点の集合で表現されているため,画像の拡大・縮小・変形などには適さない。ベクタデータは,画像を点とそれを結ぶ線や面で計算処理して表現したデータで,イラストや図面などを作成するのに適している。ベクタデータは,表示するたびに,計算を行って画像を表現するため,画像を拡大・縮小・変形したりしても,画質が維持されるという特徴がある。","画像を点とそれを結ぶ線や面で計算処理して表現したデータで,イラストや図面を作成するのに適している。",0
302,真正性、信頼性、責任追跡性、否認防止,"情報セキュリティとは,情報の機密性・完全性・可用性を確保することである。2006年制定のjis q 13335-1ではさらに真正性(authenticity),責任追跡性(accountability),信頼性(reliability),否認防止(non-repudiation)を加えて7要素と呼ぶ.",2006年制定のjis q 13335-1では、情報セキュリティにはどのような要素が追加されていますか?,1
626,完全セルフレジは複数のレジを1人のスタッフで対応できるメリットがあるが、利用者にとっては慣れないと操作が難しく、購入を諦めてしまうデメリットがある,"完全セルフレジの場合には複数のレジを一人のスタッフで対応できるメリットがある反面,利用者にとっては慣れないと難しく購入をあきらめてしまう可能性もある.",完全セルフレジのデメリットは何ですか,0
229,問題とはあるべき理想の姿と現実とのギャップのことである。また、解決や解消を必要とする状況そのものを指すこともある。,問題という用語は「あるべき理想の姿と現実とのギャップ」や「解決や解消を必要とする状況」などという意味で良く用いられる.,解決や解消を必要とする状況という場合、問題という言葉はよく使われますか?,0
196,正しくない,モデルとは事物や現象の本質的な形状や法則性を抽象化してより単純化したものを指す言葉であり事物や現象のモデルを作ることをモデル化と呼ぶ。妥当性の高いモデル化ができれば、これを使って実際には行うことが困難な実験を計算だけで行ったり、複雑な現象を再現したりするための手段としても活用できる。,以下の文章は正しいか答えてください。妥当性の高いモデルができたとしても、実際に行うことが困難な実験を計算だけで行うことはできない。,1
704,標本化,"アナログ情報をデジタル化するときには,連続的に変化する量を一定の時間間隔で区切る標本化,それぞれの値にあらかじめ定めた段階値を割り当てる量子化,量子化した数値を2進法で表現する符号化の手順が行われる。","アナログ情報をデジタル情報に変換する際,連続的に変化する量を一定の時間間隔で区切るものは何か",0
524,情報格差や健康への影響、いじめや犯罪に巻き込まれるといった問題がある,"スマートフォンなど個人が所有する情報機器の普及はsnsの普及につながり,コミュニケーションの利便性の向上につながっていると考えられる反面,年齢や所得など,個人の技術や社会環境の差により格差(デジタルディバイド)が生じ,新しい情報を手に入れる機械や量が異なることがある.","情報格差や健康への影響の他に,個人が所有する情報機器の普及はsnsの普及につながり,コミュニケーションの利便性の向上につながると考えられる反面,年齢や所得など,個人の技術や社会環境の差により格差が生じることがある.",0
959,ラスタ系画像処理ソフトでは画像を小さな点で描画するため、拡大や変形によって画像が粗くなることがある。,ラスタ系画像処理ソフトでは、画像を小さな点(ピクセル)で描画する。そのため、拡大や変形すると画像が粗くなる場合がある。また、ベクタ系とは異なり画像内にある一部の円や長方形だけを移動したり、削除することはできない。,画像を小さな点(ピクセル)で描画するため、拡大や変形すると画像が粗くなる。,0
665,正しくない,クレジットカードでは使用者は利用後に支払いを行う。,次の文章は正しいか答えよ。クレジットカードでは使用者は利用前に支払いを行う。,1
1148,正しくない,ペルソナ手法は、デザインされた情報の利用者の人物像(ペルソナ)を設定し、その人物に向けて、何が必要かを検討していくことで要件を定義する手法である。ペルソナを設定する際には、年齢、性別、職業、家族構成、趣味、スキルといった人物の基本的な情報だけでなく、利用者の会社、学校、社会での役割(ユーザロール)や、利用者がどのようなことを達成したいのか(ユーザゴール)、利用者の好みなども具体的に設定していく。,次の文章は正しいか答えなさい。ペルソナを設定する際には、年齢、性別、職業などの人物の基本的な情報だけでなく、利用者の人物像についても設定していく。,0
292,英数字・記号などを組み合わせ、他人に容易に推測されないようにする。,"これらを実現するためには,認証技術は欠かすことができない。認証はユーザidとパスワードを使って行うことが多い。一般の利用者が情報システムを利用するにあたり,設定するパスワードは通常,英数字,記号などを組み合わせ,他の人に容易に推測されない複雑なものにする必要がある。","一般の利用者が情報システムを利用するにあたり,設定するパスワードはどのようなものですか?",0
162,「おはよう」が画面に表示される。,"print(""文字列"")は文字列を表示する関数である。print(""おはよう"")を実行すると「おはよう」と画面に表示し、print(""こんにちは"")を実行すると「こんにちは」と画面に表示する。","print(""おはよう"")を実行すると何が起こるでしょう",1
220,データは事象や現象を数字や文字で記号化したもので、情報は意味や価値が付加されたデータのことである,"事象や現象を数字や文字などで記号化したものがデータであり,意味や価値が付加されたデータやメッセージを情報という.","データは事象や現象を数字や文字などで記号化したもので,意味や価値付加されたデータやメッセージを情報という.",0
395,知的財産権,"知的財産権とは,人間の幅広い知的創造活動の成果について,その創作者に一定期間の権利保護を与えるようにした制度である。知的財産権は,申請の必要な産業に関する産業財産権と,申請の必要がない文化や芸術に関する著作権に大きく分けられる。","人間の幅広い知的創造活動の成果について,その創作者に一定期間の権利保護を与えるようにした制度とは何か",1
296,英数字・記号などを組み合わせ、他人に容易に推測されないようにする。,"これらを実現するためには,認証技術は欠かすことができない。認証はユーザidとパスワードを使って行うことが多い。一般の利用者が情報システムを利用するにあたり,設定するパスワードは通常,英数字,記号などを組み合わせ,他の人に容易に推測されない複雑なものにする必要がある。","一般の利用者が情報システムを利用するにあたり,設定するパスワードは複雑なものにする必要がある。",0
265,正しくない,"情報の代表的な特性として,以下の4つがあげられる。1形がない2消えない3簡単に複製できる4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。",次の文章は正しいか答えなさい。情報の代表的な特徴は「形がない」である。,0
411,産業財産権には、新しい発明を出願から20年間保護する特許権、物品の構造・形状の考案を出願から20年間保護する実用新案権、商品やサービスに使用するマークを保護する商標権、物品のデザインを登録から25年間保護する意匠権がある。,"特許権,実用新案権,意匠権,商標権を総称して産業財産権といい,新しい技術やデザインなどに対して独占的に使用できる権利が与えられ,模倣されないように保護される.",特許権、実用新案権、商標権を総称して産業財産権という.,0
725,正しくない,"アナログ情報をデジタル化するときには,連続的に変化する量を一定の時間間隔で区切る標本化,それぞれの値にあらかじめ定めた段階値を割り当てる量子化,量子化した数値を2進法で表現する符号化の手順が行われる。","次の文章は正しいか答えなさい。アナログ情報をデジタル情報に変換するとき,連続的に変化する量を一定の時間間隔で区切る標本化,それぞれの値にあらかじめ定めた段階値を割り当てる量子化の手順が行われる。",1
602,電子マネーとは電子的なやり取りにより、現金の代わりに決済ができるサービスのことを指す,"電子マネーとは,電子的なデータのやりとりにより,現金の代わりに決済できるサービスをさす場合が多い.",電子マネーとはどういう意味ですか?,0
884,15世紀にグーテンベルクによって活版印刷術が発明されたため、情報の複製が容易にできるようになったため、同じ情報を同時に複数人に伝えることが容易になった。,15世紀にはグーテンベルクによって活版印刷術が発明されたことにより、情報の複製が大量にできるようになったことで、同じ情報を同時に複数人に伝えることが容易になった。その後、産業革命をきっかけに、不特定多数への情報伝達の需要が高まり、マスメディアが誕生した。,情報の複製が容易にできるようになったことで、同じ情報を同時に複数人に伝えることが容易になった。,0
1088,統合技法は多くの視点から多様な発想を生み出そうとする発散と集めたデータをまとめていくことで有効な情報を形成していく収束を繰り返す方法である。,発散技法は多くの視点から多様な発想を生み出そうとする方法であり、主な発想法としてはブレーンストーミングやブレーンライティングがある。また、収束技法は集めたデータをまとめていくことで有効な情報を形成していく方法であり、kj法や特性要因図が該当する。統合技法は先述した発散と収束を繰り返す方法であり、ワークデザイン法とインプットアウトプット法が該当する。態度技法は創造的態度を身に付ける方法でロールプレイング、ワールドカフェがある。,統合技法はどのような方法であり、ロールプレイング、ワールドカフェがある。,0
974,究極の5個の帽子掛け,"情報デザインを行っていく上で欠かせないのが,情報を構造化していくことである。情報の構造化とは,情報をある基準を用いて整理し,整理された情報同士を結び付けていくことである。情報の整理の基準として用いられているのが,リチャード・ソール・ワーマンが提唱した「究極の5個の帽子掛け」と呼ばれるものである。ここでは,情報を整理する基準について,「位置」「アルファベット」「時間」「カテゴリ」「連続量」の5つしかないとしている。",リチャード・ソール・ワーマンが提唱した情報の整理の基準は何と呼ばれているか,1
1054,ブレーンストーミングとkj法,"情報デザインの目的は「情報伝達についての問題の解決」であるから,デザインの対象は「情報伝達について何らかの問題を抱えているもの」ということになる。しかし,日常生活において,その問題を意識する機会は少ない。なぜなら,人間は置かれている状況に上手に対応しながら生活しているので,問題を問題として認識することが難しいからである。デザインの対象を見つけるためには,身の回りにある情報伝達の仕組みについて,新たな視点から考える必要がある。そのために,各種の発想法が用いられる。発想法は,ブレーンストーミングやkj法がその代表である。",発想法の代表的なものは何か?,1
200,ラジアンとは、円の半径の長さと等しい弧の長さとなる中心角を1とする単位。,コンピュータにおける算術演算において、三角関数の引数となる角度は弧度法(ラジアン)である。ラジアンとは、円(扇型)の半径の長さと等しい弧の長さとなる中心角を1とする単位で、0度＝0ラジアン、90度＝π/2ラジアン、180度はπラジアン、360度＝2πラジアンとなる。角度からラジアンへの変換は角度にπ/180を掛ければよい。,ラジアンとは何ですか?,1
990,アーツ・アンド・クラフツ運動,デザインの起源は19世紀末にウィリアム・モリスらが展開した、アーツ・アンド・クラフツ運動であると言われている。これは、大量生産による安価で粗悪な工業製品ではなく、生活と芸術を融合した製品を生産することによって、市民の生活の質や、製品の質や価値を向上させようという運動である。,デザインの起源は19世紀末にウィリアム・モリスらが展開した運動ですか?,0
66,正しくない,ラスタ系画像処理ソフトでは、画像を小さな点(ピクセル)で描画する。そのため、拡大や変形すると画像が粗くなる場合がある。また、ベクタ系とは異なり画像内にある一部の円や長方形だけを移動したり、削除することはできない。,次の文章は正しいか答えなさい。ラスタ系画像処理ソフトでは、画像をピクセルで描画する。そのため、拡大や変形しても画質が粗くなることはない。,1
1123,定性的な情報は主に文字情報によって結果が得られるため、新たな気付きを得たり、詳細な状況を探ったりするのに向いている。,各種の発想法によりデザインの対象を見つけたら、そこにあるニーズについて情報を収集する。このとき収集される情報には、大きく分けて、定量的な情報と、定性的な情報がある。定量的な情報は、結果を数値で得られるため、量的な比較や検証をするのに向いている。定性的な情報は、主に文字情報によって結果が得られるため、新たな気付きを得たり、詳細な状況を探ったりするのに向いている。,定性的な情報は、主に文字情報によって結果が得られるため、量的な比較や検証をするのに向いている。,0
317,コンピュータに入り込んで不正行為を行う悪意のあるプログラムのことである,"コンピュータに入り込んで不正行為を行う悪意のあるプログラムのことをマルウェアと呼び,これは広義のコンピュータウイルスに当たる.",広義のコンピュータウイルスとは何か?,0
545,主な利用目的としてコミュニケーション、動画視聴、音楽試聴があげられる,"特に,2018年に発表された内閣府による青少年のインターネット利用環境実態調査の結果によると,平均1日あたり,高校生の53.8%が3時間以上インターネットを利用しており,5時間以上利用している者も26.1%に上るという.利用目的として,上位からコミュニケーション,動画視聴,音楽視聴と報告されている.",2018年に発表された内閣府による青少年のインターネット利用環境実態調査の結果によると.,0
1056,ブレーンストーミングとkj法,"情報デザインの目的は「情報伝達についての問題の解決」であるから,デザインの対象は「情報伝達について何らかの問題を抱えているもの」ということになる。しかし,日常生活において,その問題を意識する機会は少ない。なぜなら,人間は置かれている状況に上手に対応しながら生活しているので,問題を問題として認識することが難しいからである。デザインの対象を見つけるためには,身の回りにある情報伝達の仕組みについて,新たな視点から考える必要がある。そのために,各種の発想法が用いられる。発想法は,ブレーンストーミングやkj法がその代表である。",どのような発想法が代表的であるか?,1
1019,正しくない,オットー・ノイラートのアイソタイプは、図記号を用いた情報デザインのはしりである。その後、オリンピックなどの国際的なイベントや駅などの公共施設の案内に、ピクトグラムを中心としたサインシステムが用いられるようになり、インフォグラフィックスによる情報の表現も多くみられるようになっている。,次の文章は正しいか答えなさい。オリンピックなどの国際的なイベントや駅などの公共施設の案内に、ピクトグラムを中心としたサインシステムが用いられてきた。,0
97,情報の機密性・完全性・可用性,"情報システムを安心して利用するには,情報セキュリティ対策が必要である。情報セキュリティとは,情報の機密性・完全性・可用性(情報セキュリティの3要素)を確保することである。",情報セキュリティの3要素を答えてください。,1
349,正しい,"平成30年の警察白書によれば,サイバー犯罪は次の3つの類型に区別されている。1.不正アクセス禁止法違反2.コンピュータ・電磁的記録対象犯罪等3.ネットワーク利用犯罪",次の文章は正しいか答えなさい。サイバー犯罪は次の3つに区別されている。,0
284,情報の機密性・完全性・可用性,"情報システムを安心して利用するには,情報セキュリティ対策が必要である。情報セキュリティとは,情報の機密性・完全性・可用性(情報セキュリティの3要素)を確保することである。","情報セキュリティとは,情報セキュリティの3要素のことですか?",0
272,不正アクセス禁止法違反、コンピュータ・電磁的記録対象犯罪等、ネットワーク利用犯罪,"平成30年の警察白書によれば,サイバー犯罪は次の3つの類型に区別されている。1.不正アクセス禁止法違反2.コンピュータ・電磁的記録対象犯罪等3.ネットワーク利用犯罪",サイバー犯罪にはどのような類型がありますか?,1
152,正しくない,pythonでは分岐にはif/elseを使い、反復にはwhile、forを使用する。,次の文章は正しいですか?pythonでは分岐にはwhile、forを使用する。,1
72,アイソタイプの目的は、言語の壁を越えて情報を伝達することで、社会的不平等を解消することである。,オットー・ノイラートが考案したアイソタイプは、文字が読めない社会的弱者を含めた、あらゆる人々に向けて、情報をグラフィカルに伝達しようとしたものである。その目的は、言語の壁を越えて情報を伝達することで、社会的な不平等を解消しようとしたものと言われている。,アイソタイプの目的は何か、答えなさい。,1
767,ビットマップデータ,"コンピュータで扱う画像データには様々な種類がある。画像データは大別して,ラスタデータとベクタデータに大きく分けられる。ラスタデータは,画像を色情報を持った点を使って表現したデータで,ビットマップデータとも呼ばれる。ラスタデータは,写真や自然画などを扱うのに適している。しかしラスタデータは,点の集合で表現されているため,画像の拡大・縮小・変形などには適さない。ベクタデータは,画像を点とそれを結ぶ線や面で計算処理して表現したデータで,イラストや図面などを作成するのに適している。ベクタデータは,表示するたびに,計算を行って画像を表現するため,画像を拡大・縮小・変形したりしても,画質が維持されるという特徴がある。","ラスタデータはコンピュータで扱う画像データを大別して,ラスタデータとベクタデータに大別できる。",0
183,クイックソート,クイックソートはリスト内の一つのデータを軸として、大小2つに分割した後、分割したデータに対して同じ処理を再度行うことにより並べ替えを実現するアルゴリズムである。,リスト内の一つのデータを軸として、大小2つに分割した後、分割したデータに対して同じ処理を再度行うことにより並べ替えを実現するアルゴリズムは何か。,1
314,コンピュータに入り込んで不正行為を行う悪意のあるプログラムのことである,"コンピュータに入り込んで不正行為を行う悪意のあるプログラムのことをマルウェアと呼び,これは広義のコンピュータウイルスに当たる.",マルウェアとはどういう意味ですか,0
158,アルゴリズムは問題を解決するための方法や手順であり、プログラムはアルゴリズムをコンピュータが実行できる形式であらわしたものである。,"問題を解決するための方法や手順をアルゴリズムといい,アルゴリズムをコンピュータが実行できる形式であらわしたものをプログラムという。アルゴリズムは流れ図(フローチャート)などを用いて図式化するとわかりやすい。アルゴリズムはプログラミング言語を用いてプログラムにすることで,コンピュータに実行させることができる。",アルゴリズムとプログラムの違いを答えよ。,1
